"","H10","H11","H13","H14","H17","H18","H19","H2","H20","H21","H22","H23","H24","H25","H26","H28","H29","H3","H30","H31","H33","H34","H35","H36","H38","H39","H4","H40","H41","H42","H6","H7","H8"
"gene27686",0.208884590250143,0.308417663157832,0.456575716675705,0.588247276876835,0.421362639064517,0.015713799368776,0.194876198737553,1.42030664872288,0.619844631370338,0.825081308798049,0.156530533005283,0.419319692908403,0.421600132783987,0.243452523259176,0.663331478110551,0.909450141907338,0.401332869464085,-0.111247930770284,0.276537809251197,0.337183859850221,1.1425198143499,1.2231502681877,0.0163324604943912,0.623656950873097,-0.0450889294450473,0.267994555900363,0.0357688744431757,0.530334905851167,0.759777767345988,0.308810551145491,-1.19304254614772,0.182504506224555,0.787333230582617
"gene36593",-0.24112800786323,-0.18563400815269,0.393909749900969,-0.215862276512287,0.208381852796368,0.422840564059635,1.03645222672237,0.61601428892571,-0.11832961812685,0.709999766353233,-0.258236138622975,0.330718995028942,0.12775006646789,0.0267262406578049,-0.168626448783006,0.713804103104011,0.0793888057700688,-0.123443341254488,0.146700636302418,1.19374797073979,1.14439684517996,1.08201921868349,0.344557619236395,-0.394882880703858,1.2925764105618,0.0551846298039101,-0.252429740975896,0.933983847956499,0.788591628689137,1.05704591930242,-0.894758882586298,0.085814563003039,0.378384481995353
"gene26406",-0.110968800168574,0.142111064430485,0.296358662431457,-0.0243752028571123,0.264768593824974,-0.165456154984351,0.674653554948388,0.752838444341866,-0.177451688186513,-0.345196264348105,-0.17626847897326,0.209029600425324,0.320877741899279,0.0478116570818441,-0.28719888102854,0.161851134980399,-0.0897504502143207,0.0713159814116123,0.460519628411112,0.0884991431944618,0.65595269515481,0.703552541670175,0.253950612320994,0.184904347297513,-0.0599422479195249,-0.370539743333903,-0.900943134193513,0.578606255436404,0.410574466516032,0.616449726084325,-1.00651253370792,0.0445336319721005,-0.176905668572022
"gene16745",0.0992858211036807,0.21438962573549,-0.264273384556705,0.0786245364387202,0.0545099950161944,-0.739381657262411,0.301670112522922,1.20587190767137,0.14437532136539,0.0338065468330358,0.0721904106105228,0.00963966107360752,0.312538822318614,0.126733108179591,0.169121865824128,0.115883621234516,0.267751205636624,0.182640773669018,-0.0758666896026112,-0.240338980321821,0.462853509038539,0.528000787059473,-0.112415614536021,0.066864508478143,0.178856987640765,-0.230521225235712,-0.34785149877851,0.684121413017298,0.229494139290697,0.439444394282123,-0.905403750083688,-0.0178272626600726,0.0180460451968058
"gene27459",0.0731521126914469,-0.516360351974685,0.0522144330612631,0.209607161061199,0.425997306950956,0.41253527795291,0.17496274576219,0.667671733901548,0.0285092342773079,0.0668918516725925,0.159900227815048,0.0556510364499011,-0.0960458404542896,-0.307469771026473,-0.454304107101455,-0.0514456374896786,0.435016292145569,-0.837561459303777,0.0302213807187837,1.33488782536265,1.04097559377018,0.606364745056333,0.464476641601323,-0.292992270765843,0.66622251330482,0.556601497708466,-1.10209252961799,0.713831169524073,0.621548890992699,0.554683855057281,-1.35045313836389,0.202440431767338,0.0288753502851925
"gene17467",-0.340442627306813,2.19991883063001,-0.386439490601672,0.180011465721522,-0.0292569070623648,0.317467171594288,0.937910072540925,1.74961049245907,-0.248277176342233,0.675102644599081,-0.23264576299134,0.536968406229498,0.249254478460306,0.485117407098575,-0.0570594029751786,0.191517914414257,0.187256633327648,-0.297649193968977,0.466492812171731,0.640777939302164,0.423940231494485,0.419062575505446,-0.263676327744496,-0.0742886390141514,0.702002399284275,-0.0781753082508339,0.340423620044003,-0.567360715009855,-0.227331190444806,0.515110404592877,-0.372869486699267,-0.772757475435586,-0.069051312941312
"gene2859",-0.290305290678421,-0.498650684255634,-0.260505853955627,-0.0311602255628612,0.157666961763833,-0.645414011478694,-0.33622690115926,0.726565999427519,0.271227882047562,0.652229392223477,0.184159674404247,-0.118479302927097,-0.107489912478175,-0.257493508502521,-0.827486415034189,0.00983010161211956,0.527944252435682,-0.0234469418528585,-0.0894975283149074,0.460907651650049,0.78093519465566,0.155990782549175,1.18523354024175,-0.383044115433455,1.01628765278384,-0.700707801792516,-1.08116331936963,0.274196178873581,-0.110754392247271,0.0189565888016724,-0.646516542378155,0.0484675548129173,0.00622824498512119
"gene28776",-0.094435409807574,0.274199067390748,0.16336455556188,0.318377178282046,0.109401342446404,-0.209670454371751,0.451286524929949,1.0125423584951,0.150769692470022,0.111035269994071,-0.588883833561215,0.477638487250425,0.154322093687073,-0.249030493674745,-0.473413596754903,-0.184903614529,0.104777855182986,-0.452855329655395,0.577541819595583,1.40451246729083,1.21153848030576,0.9179787294966,0.279855198156991,0.0390647393503575,0.208020977170767,0.481975419529833,-0.664598795854227,0.290374881250763,0.48056363788248,0.286900482921536,-0.932347594718525,-0.144326341537756,0.0413006770282226
"gene37861",0.063313873103929,-0.118543578941411,0.273606967529305,0.543287824961149,0.13556337569051,0.0251347490035011,0.803266178760653,1.01040642282362,0.674783168052576,0.315858695334305,-0.583159831320238,0.230849663863566,0.584253392044391,0.323317958690976,0.429320411122698,0.427864969648687,0.509082510907587,0.142458424024105,0.196111477334153,0.365977224508795,0.540373274045407,0.623882739585407,0.191241512748565,0.618722427101731,-0.320639328786958,0.0323040367565177,-0.710208251685692,0.390156653950126,0.595293147421825,0.18469585910251,-1.07906322770126,0.428736901018655,0.29196038883179
"gene39347",-0.0900221548172789,0.0225564714760997,-0.340755201729179,0.182877440759899,-0.143030840609939,-0.577898455538408,0.406307497402083,0.720025738592416,-0.292865236106323,-0.0659836764372636,-0.404801324713345,-0.0176935950428603,0.0834645375071347,-0.237100560321555,-0.531997732043767,-0.180296632749385,-0.158020118398648,-0.603972790577025,0.407860884313944,0.165844754827949,0.41540966942975,0.600514123587638,0.720145467147615,-0.133472401972583,0.228385670611778,-0.0709083730095622,-0.873222231547649,0.746493167627028,0.432703833997313,0.278778774381996,-1.39102032713502,-0.218634191516273,0.155601288339021
