"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene23658",903.30521460218,0.509127226952631,0.0762219151512197,6.67953863324679,2.39695648215204e-11,3.95114306517942e-07
"gene35426",407.728414962454,0.510313665444482,0.0849463787106625,6.00747993251921,1.88429120024456e-09,1.55303280724157e-05
"gene12353",431.574093434705,0.576439608914786,0.0991346166747451,5.814715668958,6.07370333507499e-09,3.30223247317601e-05
"gene40946",824.206250299819,0.477317945560813,0.0827501709799405,5.76818077725204,8.01318241488962e-09,3.30223247317601e-05
"gene27686",2947125.2093105,0.388966736339715,0.071220435774065,5.46144841873261,4.72265472101622e-08,0.000155696480842463
"gene37699",127918.817865459,0.525258503494061,0.0968813135865841,5.42166991805526,5.90448349333398e-08,0.000162215843173529
"gene26056",589.050155110675,0.36415718810133,0.0676902317898801,5.37975980392156,7.4585285333586e-08,0.000175637691919833
"gene24203",880.03242086197,-0.330152965239822,0.0625022558289807,-5.28225678994996,1.27602171399872e-07,0.000262924274169436
"gene20795",1165.20660006298,0.388390238336398,0.0762494048540562,5.09368222715691,3.51175188466383e-07,0.000643196867408872
"gene29868",665.82866402549,-0.405707073415504,0.0802705410580594,-5.05424615391663,4.32094031139481e-07,0.000665012901880205
"gene25105",686.13181417943,0.355491933851241,0.0704062453006042,5.04915341435186,4.43772259201787e-07,0.000665012901880205
"gene37697",1907.91011267563,0.425974391752062,0.085468711757764,4.98398048819739,6.22893635977062e-07,0.00085564822462049
"gene16102",297.254461732853,0.466960069083723,0.0966085655882808,4.83352657438036,1.34135363735801e-06,0.00170083641216995
"gene32077",1376.15218055041,-0.344471162020922,0.0719747453911561,-4.78600042485526,1.70137695997655e-06,0.00200324984344667
"gene28963",17412.7394145009,0.318149056555577,0.0666884545953411,4.77067670087834,1.83608035763421e-06,0.00201772990768282
"gene35319",893.084997275205,0.286998381897112,0.0612730057106545,4.68392856802857,2.81428119622223e-06,0.00289941320240795
"gene2765",399.436045570683,0.464883029284381,0.0998493590211686,4.65584390167014,3.22656334693824e-06,0.00296147861971496
"gene22314",871.62882164729,-0.268023623829106,0.0576800967241763,-4.64672632417353,3.37244099149337e-06,0.00296147861971496
"gene27690",818.823104424156,0.399244401586338,0.0860138538067047,4.64162903900972,3.45673041381579e-06,0.00296147861971496
"gene38365",421.520074213469,-0.356478119226405,0.076932860629551,-4.63362620743985,3.59315532603125e-06,0.00296147861971496
"gene25605",337.332555528467,0.347146960529308,0.0753622533906335,4.60637713060281,4.09744983972591e-06,0.00310031449996807
"gene27687",1051.0961350148,0.409079634137345,0.088846535466101,4.60433974145708,4.1377650448494e-06,0.00310031449996807
"gene32375",1730.3401881032,0.297508797792146,0.0648174778182791,4.58994715323906,4.43358245401623e-06,0.00317752926834798
"gene31422",352.998268775529,0.348331196217414,0.0760631483025012,4.5795001126184,4.66088537741472e-06,0.00320125144005434
"gene41332",402.776381674692,-0.390246266095211,0.0862044850667126,-4.5269833210326,5.9831660379036e-06,0.00390281954078679
"gene3865",258.237088900737,0.366532616906362,0.0811911656489325,4.51443964348578,6.34843984668028e-06,0.00390281954078679
"gene32288",1097.22794355144,-0.272701435334511,0.0604261680798974,-4.51296919860839,6.39263089063597e-06,0.00390281954078679
"gene20323",1066.78650590888,-0.282972321261838,0.0632599137871423,-4.47316956855153,7.7068613234042e-06,0.00453713935910696
"gene38060",99.0778167344086,-0.600707898540234,0.134735753339547,-4.4584149615165,8.25679414374602e-06,0.00469327567812101
"gene40066",3754.10408193928,0.318499776584897,0.0717754763409735,4.43744566837629,9.10326893033203e-06,0.00498477420879914
"gene27691",862.544500393862,0.438014729831558,0.0988496315479712,4.4311215223801,9.37442371225269e-06,0.00498477420879914
"gene25596",1200.81090901322,-0.346174150921327,0.0782559956482907,-4.42361186581987,9.70643359185615e-06,0.0050000266040049
"gene32886",508.877423361356,-0.301357256135466,0.0685566669468033,-4.39573960573819,1.10396212033083e-05,0.00551445805804042
"gene19731",1.57625079132029,-0.580292605837881,0.132545320289627,-4.37806936201045,1.19735247456131e-05,0.00580504652666725
"gene12851",411.755010204628,-0.433884035547838,0.0992991440187116,-4.36946400530983,1.24551866978963e-05,0.00586603707223208
"_ambiguous",1084888.31721135,0.274545049282652,0.0633520520834979,4.33364098325973,1.46663282681519e-05,0.00671554875478378
"gene26878",325.108863751285,0.332844448337976,0.0769288515192577,4.32665302763105,1.51392154380166e-05,0.00674472506162881
"gene15100",924.519347568459,0.239758712614196,0.0555152514663838,4.31878999520298,1.56886976876769e-05,0.00680559191272805
"gene1144",804.194533143384,0.331972374681258,0.0772997459781072,4.29461145674759,1.74999547932767e-05,0.00726206378555711
"gene12893",64.1414468308464,0.594400212982081,0.138455807491492,4.29306811863856,1.76220912049432e-05,0.00726206378555711
"gene38306",2420.47710925641,-0.164328331876893,0.0386175229244638,-4.25527893641239,2.08788561047085e-05,0.00834554068755594
"gene16087",1073.72160568161,-0.182689687221314,0.0429737809980906,-4.25118951551951,2.12638139333505e-05,0.00834554068755594
"gene39263",459.895954244817,-0.422276658241316,0.099524347057458,-4.24294829080892,2.20602280106452e-05,0.00841353815261732
"gene22870",229.248434690477,-0.479798249299056,0.113188291563728,-4.23893887495348,2.24578790776002e-05,0.00841353815261732
"gene12181",1969.2299222656,0.291479083857182,0.0689798609959453,4.22556786355825,2.3833898217101e-05,0.0087306217380154
"gene30583",582.942889124024,0.328507162017891,0.0778719913263909,4.21855350585544,2.45874627321288e-05,0.00881086381905241
"gene19193",458.795201201243,0.291716414622884,0.0696496336427602,4.18834097705561,2.81001106087891e-05,0.00972120681794798
"gene31267",552.505133106396,0.277874791214793,0.0664415255620522,4.18224579980896,2.88643661734494e-05,0.00972120681794798
"gene16103",928.231176282806,-0.242795925811201,0.0581399334821914,-4.17606129332037,2.9659993165904e-05,0.00972120681794798
"gene40950",1683.07339464366,0.335030160229031,0.0802765089951042,4.17345203999171,3.00018839537341e-05,0.00972120681794798
"gene38083",1091.75630613005,-0.242257166039009,0.0580550631269837,-4.17288610140894,3.00765316498027e-05,0.00972120681794798
"gene17157",85.7348035908809,0.44838352410527,0.10837126712034,4.13747606740968,3.51147061665357e-05,0.0111313618547918
"gene15525",778.583282331257,-0.228794445475417,0.0557692923378225,-4.10251656215206,4.08680590654422e-05,0.0127107374648066
"gene38442",356.6806132791,0.368691488476295,0.0900365111153016,4.09491087459115,4.22330820472554e-05,0.0128920393419807
"gene35149",195.81968894423,0.32801551015028,0.0802532991966165,4.08725265420751,4.36511665388394e-05,0.0130826514404769
"gene33063",579.484244924609,-0.256758486726411,0.0629094884731984,-4.08139523874525,4.47661546621012e-05,0.0131772373830371
"gene23312",248.073733868148,-0.283099549578939,0.0698090631466806,-4.05534090873129,5.00612359147555e-05,0.0144773581196286
"gene20800",127.911236203313,0.433908398793973,0.107816922264868,4.02449253492893,5.70983051935472e-05,0.0162277321174212
"gene23371",575.178819007706,-0.224894279198978,0.0559919593283521,-4.01654598082801,5.90573454006041e-05,0.0165000217217552
"gene34778",105.759985362066,0.44122513725074,0.11015763052359,4.00539785717571,6.19131835974694e-05,0.0170096153070114
"gene15200",1675.44225654326,-0.234778586314229,0.058844831494202,-3.98979112273203,6.613150644291e-05,0.0178706844623759
"gene21150",643.352526019423,-0.237682981202073,0.0596686770290507,-3.98337943853445,6.79421463417472e-05,0.0180638441983445
"gene28373",506.54350821595,-0.331437324377933,0.0834231487590734,-3.97296588906187,7.09832175822074e-05,0.0185728152162715
"gene30859",185.937084066275,-0.355568108489676,0.0898801432905393,-3.95602516275808,7.62071375914058e-05,0.0193710819312337
"gene29588",1036.88936881222,-0.31982180528442,0.0808850104618578,-3.9540305856205,7.6845579669928e-05,0.0193710819312337
"gene32553",303.108258380241,0.260291321189325,0.0658662124895267,3.95181856298043,7.75595369729084e-05,0.0193710819312337
"gene21749",440.267243620686,0.308564850557232,0.0782871889197432,3.94144757034973,8.09913397207518e-05,0.019679051853852
"gene21504",343.744271629388,0.27664973381598,0.0701998331794002,3.94088876406564,8.11802672932502e-05,0.019679051853852
"gene27850",507.290767086789,-0.276289171709682,0.0708580414219838,-3.89919289561344,9.65138646248438e-05,0.0230570223837091
"gene27608",281.750589267048,-0.300455928308956,0.0772910837096828,-3.88732973957921,0.000101353031462832,0.0238671910090475
"gene31445",355.36793451206,-0.265648587189948,0.068409221929043,-3.88322772426048,0.000103078945506283,0.0239317371510643
"gene25701",919.769549915745,-0.228645840904382,0.0590901828303645,-3.86943871134697,0.00010908619833053,0.0248850318721693
"gene35444",331.203538725923,0.242593197941965,0.0627664313989566,3.86501498547834,0.000111082379329425,0.0248850318721693
"gene23203",227.9981560278,0.350657094388427,0.0907584321441706,3.86363102693759,0.000111713926142958,0.0248850318721693
"gene24964",75.7253615447687,-0.461828342455239,0.121440847435124,-3.80290777122547,0.000143007606140198,0.0314311650615337
"gene27882",1230.159273085,0.307412811117622,0.0811432626539836,3.7885192320712,0.000151547862983877,0.0325608347390162
"gene31423",682.480725657966,0.266951322152137,0.0704799891557664,3.78761866098125,0.000152098051134691,0.0325608347390162
"gene29007",735.755203940737,-0.246520809519778,0.0652934614846743,-3.77558187166477,0.000159634579648122,0.0337361078323031
"gene19223",72.1540518153903,0.477666930013932,0.12791913042263,3.73413209139067,0.00018836362040565,0.0388153399709823
"gene14274",321.777421614197,0.390031857672682,0.104451018625341,3.73411253241773,0.000188378257563612,0.0388153399709823
"gene17609",103.528730594459,-0.401915806319871,0.108029929621561,-3.72041162784997,0.00019889833230225,0.0404770383909912
"gene15003",55.7464906851932,0.502082417086315,0.135171601070718,3.71440756127197,0.000203680304890708,0.0406645520069112
"gene29107",115.87171144295,0.348810413710025,0.0939410356721275,3.71307822203963,0.000204753568100803,0.0406645520069112
"gene14381",694.159920838185,-0.245927473828711,0.0662923436564717,-3.70974173281778,0.000207470781757612,0.0407136710296724
"gene3028",530.382694780986,0.291591632778889,0.0788447970093597,3.69829898533792,0.000217049138345983,0.0420922117234728
"gene27865",393.747872501059,-0.252554074324157,0.0685144378425794,-3.68614385926119,0.000227677681752623,0.0424155034238317
"gene18420",690.401910974825,-0.191756522372637,0.0520544669473914,-3.68376690066647,0.000229812412618324,0.0424155034238317
"gene28744",84.1067064512764,0.494692159256606,0.134348183038383,3.68216486497085,0.000231261771855313,0.0424155034238317
"gene24176",156.307442199566,-0.360277266291397,0.0978966508586919,-3.68017969083985,0.000233069657393033,0.0424155034238317
"gene28959",866.391941045441,-0.423060620740356,0.11501045298119,-3.6784536515959,0.000234652320958239,0.0424155034238317
"gene29363",558.395153033473,-0.328638133890494,0.0893723081461108,-3.67718078124623,0.000235825913392673,0.0424155034238317
"gene2897",348.473728227227,0.282501141293613,0.0768458348164626,3.67620628975317,0.00023672811908472,0.0424155034238317
"gene14412",3291.79939904211,0.290796301492992,0.0793907478664367,3.66284874885188,0.000249425827980948,0.0441381845346976
"gene24554",76.9900562010965,0.47305058590043,0.129230220094505,3.66052604069304,0.000251697970532733,0.0441381845346976
"gene20210",162.206087978159,0.331442119063729,0.0906637523839456,3.65572911277847,0.000256452048689833,0.044163262769892
"gene15937",240.037725826922,-0.292778417622034,0.0801039128796749,-3.65498272302654,0.000257199297859114,0.044163262769892
"gene23620",432.028793218252,0.284105396237267,0.0779231337727009,3.64596984851755,0.00026638521113299,0.0452690084568681
"gene16084",11.8822489708825,-0.555910231482691,0.152914124312856,-3.63544070229458,0.000277505823149441,0.0466776121305652
"gene10508",1991.71154015776,-0.167075490805162,0.0459959406403623,-3.63239643497039,0.000280801286610313,0.0467548324089333
"gene34995",252.450836703902,-0.335589797481563,0.0925441327197331,-3.62626768028488,0.000287547281388307,0.0473228891486566
"gene24755",196.406396616114,-0.362102253642282,0.0999293129927778,-3.62358393946381,0.000290548851901481,0.0473228891486566
"gene27569",261.744830710241,0.312740306182505,0.0863566974022733,3.62149451739307,0.000292906014029458,0.0473228891486566
"gene20778",315.616805359533,-0.264325311955466,0.0730373819031826,-3.61904144244727,0.000295696286235842,0.0473228891486566
"gene35064",648.025714781403,-0.245990644466345,0.0682881104764438,-3.60224704930444,0.000315478327753224,0.0499963144624204
"gene39972",313.443912546132,-0.276632091453017,0.0768466066840135,-3.5997957930726,0.00031846718142163,0.0499963144624204
"gene12992",440.575000333673,-0.207557218493771,0.0577473153235714,-3.59423147778871,0.000325350491955244,0.0505950708433042
"gene14827",8.52946424712064,-0.541928631420735,0.150959119361994,-3.58990323811583,0.000330800734888802,0.0507596034191194
